city_id,city,country,date,latitude,longitude,temperature,max temperature,humidity,cloudiness,wind speed
113,Boyuibe,BO,1610068039,-20.4167,-63.2833,69.6,69.6,85,100,3.04
114,Alice Springs,AU,1610067808,-23.7,133.8833,84.2,84.2,16,0,14.97
115,Gaillac,FR,1610068041,43.9016,1.8969,25.52,26.01,96,0,0.83
116,Coos Bay,US,1610068044,43.3665,-124.2179,48.67,48.99,87,1,5.75
117,Longyearbyen,SJ,1610068046,78.2186,15.6401,33.8,33.8,75,40,32.21
118,Ngara,TZ,1610068047,-2.5122,30.6558,55.4,55.4,100,0,2.35
119,New Norfolk,AU,1610068049,-42.7826,147.0587,75.83,79.0,37,1,3.0
120,Fairbanks,US,1610067837,64.8378,-147.7164,3.88,6.8,85,75,1.14
121,Chernyshevsk,RU,1610068051,52.5243,117.0174,-22.34,-22.34,82,0,2.21
122,Bambous Virieux,MU,1610068052,-20.3428,57.7575,74.16,75.2,69,20,4.61
123,Níjar,ES,1610068053,36.9665,-2.206,48.09,48.2,87,75,6.91
124,Carnarvon,AU,1610068055,-24.8667,113.6333,86.0,86.0,70,40,8.05
125,Esna,EG,1610068056,25.2934,32.554,57.2,57.2,54,0,5.86
126,Lichuan,CN,1610068057,30.3,108.85,25.43,25.43,92,73,2.24
127,Zyryanka,RU,1610068058,65.75,150.85,-22.95,-22.95,83,73,6.08
128,Avarua,CK,1610067960,-21.2078,-159.775,86.0,86.0,70,20,12.66
129,Torbay,CA,1610067798,47.6666,-52.7314,41.56,42.8,100,90,13.8
130,Teguise,ES,1610068062,29.0605,-13.564,68.0,68.0,83,40,17.27
131,High Level,CA,1610068063,58.5169,-117.136,14.0,14.0,100,20,4.61
132,Kavieng,PG,1610068064,-2.5744,150.7967,81.46,81.46,84,100,15.3
133,Tongliao,CN,1610068065,43.6125,122.2653,-15.27,-15.27,82,0,9.62
134,Antofagasta,CL,1610067826,-23.65,-70.4,68.0,68.0,73,20,6.91
135,Kaabong,UG,1610068068,3.4836,34.1492,67.1,67.1,39,74,6.08
